source_player_id,name_ja,name_en,tier,wikipedia_title,pathway_category,pathway_matched_categories,pathway_reason,wikipedia_pathway_context,reviewed_pathway_category,reviewer_note
3242,大和田 真史,Masashi OWADA,pre2014_p1,大和田真史,university,university|high_school|j_club_academy,university_entry_after_pro_entry,"

1997年、鹿島アントラーズのジュニアユースからユースに昇格し、同時に茨城県立神栖高等学校に入学。ユースの同期生に、根本裕一、野沢拓也がいる。ユース時代に世代別代表候補に選出され、1999年シーズンは野沢とともにトップチームに2種登録された。
2000年、明治大学に進学し、サッカー部に入団。主将をつとめ、関東リーグ2部ベストイレブンに選出された。

2004年に水戸ホーリーホックの練習に参加し、夏から選手登録される。2005年には正式に水戸ホーリーホックに入団し、レギュラーを獲得した。2009年シーズンからは、移籍した平松大志に代わり主将をつとめた。
2011年シーズンより栃木SCへ移籍。2012年より副キャプテンに任命される。2013年シーズン終了をもって栃木SCとの契約が満了となった。
2014年1月14日、現役引退を発表。

2014年4月、東京国際大学体育会サッカー部コーチに就任した。
2017年、モンテディオ山形コーチに就任した。
2022年、ジェフユナイテッド市原・千葉のコーチに就任。
2026年、ファジアーノ岡山FCのコーチに就任。",,
6074,島田 裕介,Yusuke SHIMADA,pre2014_p1,島田裕介,unknown,,no_institution_keyword_found,"大宮アルディージャ時代は主にスーパーサブとして活躍。2006年に、ザスパ草津へレンタル移籍。9ゴール・16アシストと大きな結果を残し、2007年に大宮へ復帰。しかし、同じポジションに小林大悟・藤本主税がいる上、橋本早十の成長もあってほとんど試合に出られず、2008年に再び草津へレンタル移籍し、チームの年間MVPに選ばれる大活躍を見せる。2009年には、サガン鳥栖へレンタル移籍。チームの中心選手として活躍した。2010年は徳島ヴォルティスに完全移籍して、四国初のJ1チームを目指したが、2011年の4位が最高順位であった。
2012年より、Kリーグ・江原FCへ移籍。
2013年3月、自身のオフィシャルブログで、現役引退を発表。引退後はスカパー!のJリーグ中継に出演している。
2016年11月、CPサッカー（脳性まひ者7人制サッカー）の日本代表監督に就任した。",,
5151,田原 豊,Yutaka TAHARA,pre2014_p1,田原豊,unknown,,no_institution_keyword_found,"2008年の京都がJ1昇格後は大型CFとして期待されたが、好不調の波が大きいことなどからチームから戦力外通告を受けて同年限りで退団となった。
京都退団後にJリーグ合同トライアウトへ参加。2009年には韓国の大田シチズンやオーストラリアのアデレード・ユナイテッドのキャンプに参加するも契約には至らず。その後、J2・湘南ベルマーレの練習に参加。新たな攻撃の軸を探す湘南の思惑と一致し、開幕2日前になって入団が決定した。得点だけでなく、ポストプレーはもちろん、激しいチェイシングや相手コーナーキック時には高さに不安を抱えた湘南のディフェンスをカバーするなど、チームに欠かすことの出来ない選手として活躍。J1昇格に貢献した。
2014年、タイ・プレミアリーグのサムットソンクラームFCへ移籍。
2015年、JFLの鹿児島ユナイテッドFCに移籍。負傷などのためリーグ戦1試合の出場にとどまり、同シーズン終了後契約満了により退団することが発表された。
2016年8月に開催された「湘南ベルマーレフットボールDay」のレジェンドマッチに出場した。
2021年現在、プロサッカーの世界から引退し、東京都内の不動産会社でサラリーマンをしている。",,
6533,鈴木 良和,Yoshikazu SUZUKI,pre2014_p1,鈴木良和,unknown,,no_institution_keyword_found,2001年湘南ベルマーレに入団。ルーキーイヤーから開幕スタメンを飾り、ドリブルを武器にJ2を席巻、2001年シーズン初頭の湘南の快進撃の原動力となった。2002年シーズンより中田英寿も背負ったベルマーレの顔とも言うべき背番号7を託されるが、怪我に泣く事が多く「7のヨシカズ」は徐々にピッチから見られなくなる。2005年シーズンには背番号を15番に変更、心機一転でシーズンに臨んだが、ポディションを不慣れな右サイドバックなどで起用されるなど、本来の力を発揮する事なく同シーズン終了後に戦力外通告。半年間のブランクを経て水戸ホーリーホックに移籍した。なお、この移籍は当時水戸に在籍していた元ベルマーレの時崎悠の推薦により実現した。,,
6432,金守 智哉,Tomoya KANAMORI,pre2014_p1,金守智哉,unknown,,no_institution_keyword_found,"DF（主に中央）としては珍しいの背番号7（2006年）、10（2007年）を背負った愛媛の中心選手。しかし2008年からは10番を宮原裕司に譲り、背番号3でプレーした。
2017年2月、現役引退とFC.ISE-SHIMAの監督就任が発表された。
2020年12月27日、FC.ISE-SHIMAの監督を退任してヘッドコーチに就任すると発表された。
2024年2月、FC.ISE-SHIMAの監督に就任した。",,
6665,尾亦 弘友希,Hiroyuki OMATA,pre2014_p1,尾亦弘友希,j_club_academy,j_club_academy,overseas_relocation_language_no_domestic_institution,"小学校2年生の時にサッカーを始める。FC東京の下部組織に加入し、同期の馬場憂太、高橋延仁らと共に2001年のクラブユース選手権で優勝した。2002年、馬場と共にFC東京のトップチームへ昇格。クラブ創設以来初の下部組織からのトップ昇格だった。同年4月の市原戦で左サイドハーフとして途中投入され、この試合がJリーグデビューとなった。U-19日本代表としても活動し、左足のキックに高評価を受けていたが、馬場が主力格となる一方で、尾亦は金沢浄らからポジションを奪えずにいた。2003年には2ヶ月間、FCポルトへ短期留学。2004年には大宮アルディージャへ期限付き移籍。大宮ではセンターバックとしても練習を積み、守備面を強化させた。2005年にFC東京へ復帰。左足からのクロスに力強さを増したものの、サイドバックのバックアッパー を務めるに終わった。
2006年よりJ2を戦う湘南ベルマーレに完全移籍。同年のリーグ戦では出場停止を除く全試合に出場し、チーム最多・最長出場を記録。左サイドバックのレギュラーポジションをほぼ手中に収めた。これまで尾亦を見守ってきたFC東京の長澤徹ヘッドコーチによると、2005年当時、プレーからやる気が感じられなくなっていた尾亦に対し「お前は（このままだと今季限りで）クビだから。自分の子供が生まれても、サッカー選手だったことを隠すだろ」と突き放したところ、尾亦はこの言葉に奮起して、これ以後ダッシュやフィジカルの練習をトップでこなすようになったという。結果的には長澤の予告通り契約非更新となってしまったが、Jサテライトリーグなどでの懸命なプレーが伝わって、湘南でチャンスを掴むことができたとのこと。
2008年からJ2セレッソ大阪へ完全移籍。湘南在籍時には果たせなかったJ1昇格を目指していたが、3月の第4節仙台戦で右大臀部筋損傷を負い2ヶ月の離脱。戦線復帰後の8月、第30節古巣・湘南戦では右アキレス腱断裂の大怪我を負い、全治6ヵ月と診断された。2009年シーズン終盤に復帰。2010年は負傷離脱中に台頭した石神直哉からポジションを奪い返し、序盤はレギュラーとして出場していたが、W杯中断期間に負傷して以降は丸橋祐介にポジションを奪われ、リーグ戦の出場は無かった。2011年は自ら希望して背番号をプロ入り時と同じ32に変更。巻き返しを図り、自身初のACL出場も果たしたが、レギュラーを奪回するまでには至らず、同年限りでC大阪を退団した。
2012年よりJ2アビスパ福岡へ完全移籍。サイドからのクロスによるチャンスメイクは健在で攻守に貢献していたが、契約満了により2013年シーズン終了後に退団。その後現役続行を模索していたが、2014年3月に自身のブログで現役引退を表明した。
2014年4月より古巣FC東京の普及部コーチを務める。
2015年、AC長野パルセイロのキャンプに練習生として参加したが 契約には至らず、7月に東京都リーグ3部のCORAZONマタドールで選手復帰。
2016年、東京都リーグ2部の南葛SCにコーチ兼任で加入。
2019年、南葛SCの女子チーム南葛SC WINGSの監督に就任した。2021年12月20日、退任が発表された。
2022年、習志野シティFCの監督に就任した。 2024年2月末で任期満了となった。",,
6245,根占 真伍,Shingo NEJIME,pre2014_p1,根占真伍,j_club_academy,j_club_academy,overseas_relocation_language_no_domestic_institution,"東京都出身で、ジュニアユースから東京ヴェルディ1969に所属し、世代別代表を経験している。東京Vでは膝の持病で入団2年目で手術を経験するなど、入団後しばらくはスタメンを取れずにいたが、J2降格を契機に出場機会を増やしていった。
2007年に横浜FCへ移籍し、かなりの出場機会を得るが、2010年に急激に出番を失いクラブを退団した。
2011年にはロアッソ熊本に移籍。怪我がちであったことからスタメンを奪うことはなかったが、守備的ミッドフィールダーとして欠かせない選手になったものの、2012年クラブより契約満了の通達を受け退団となった。
その後、国内外で移籍先を探していたようだが、インドのIリーグ所属のチャーチル・ブラザーズSCが獲得に興味を示しているとの報道があり、その後6月に実際に加入が決まったとの報道があったが、入団せずにそのまま現役引退。
引退後は東京都内で不動産関係の仕事をしていたが、9カ月で退職し家族の住む沖縄県内に移住、1社を経て2016年11月現在は同県内の住宅設備関係の会社に勤務している。",,
8095,長野 聡,Satoshi NAGANO,pre2014_p1,長野聡,unknown,,no_institution_keyword_found,"2010年までディフェンダーとしてプレイしていたが、2011年よりフォワードにコンバートされる。しかし翌年からは本人の申し出によりディフェンダーに再転向した。
2013年からはタイのナコーンラーチャシーマーFCに所属。2012年シーズン8位だったチームに安定感もたらし、チームも5位と躍進した。
2014年シーズンは、約1ヵ月間、週に2試合行う超過密日程もあった中で34試合中32試合に出場し、圧倒的な強さでタイディビジョン1優勝。国内1部リーグであるTPLへの昇格に大きく貢献。
また、リーグカップでもTPLのFWを抑え、ベスト4進出にも貢献した。試合中もチームメイトとコミュニケーション取り、縦への正確なロングキックと激しいプレスで守備陣のリーダーとなった。2014年シーズンの自身の活躍もあり、ディビジョン1のベストイレブンに選出された。
2017年1月21日、バンコクFCへ移籍した。
2018年、北海道十勝スカイアースへ移籍。コーチも兼任する。
2021年より、北海道十勝スカイアースの監督に就任。",,
6838,柴小屋 雄一,Yuichi SHIBAKOYA,pre2014_p1,柴小屋雄一,unknown,,no_institution_keyword_found,"大分トリニータ在籍時は、皇甫官体制時に当時入団一年目だった深谷友基とCBを組み、三木隆司などベテランを退け開幕からレギュラーを掴んだ。経験不足による失点は目立ったが、空中戦には強く、強豪クラブを抑える活躍をした。
ペリクレス・シャムスカの監督就任後、出場機会が減少。2007年4月に出場機会を求めサガン鳥栖へ期限付き移籍。鳥栖ではセンターバックのレギュラーの座を掴み、第二クールにおいて快進撃の原動力となっていた。しかし、10月21日の古巣水戸戦で全治2か月の負傷を負い、戦線を離脱した。翌2008年も移籍期間を延長し鳥栖でプレー。飯尾和也とCBのコンビを組み出場した試合では安定した守備をみせた。
2009年からは愛媛FCへ期限付き移籍。まずまずの出場機会を得るも、シーズン終了後に期限付き移籍満了、大分からも戦力外通告を受ける。しかし年明けの1月、一転して同じく戦力外となっていた梅田高志とともに再契約されることが発表された。なお、大分には3年ぶりの復帰となった。
2010年3月24日、練習中の負傷（右肩関節脱臼）により全治4ヶ月と診断された。同年9月21日、インドネシアリーグのペリタ・ジャヤに移籍。
2011年3月、ペリタ・ジャヤで同僚だった酒井友之と共に、インドネシアリーグのペルセワ・ワメナに移籍した。しかし、5か月分もの給料未払いがあった事を理由として、2012年12月31日、自身のブログで現役引退を表明した。2016年4月に東北フットサルリーグ2部南・レジェンガ・フットサルクラブに加入。フットサル選手として現役復帰した。",,
7926,江添 建次郎,Kenjiro EZOE,pre2014_p1,江添建次郎,unknown,,no_institution_keyword_found,"2003年ユニバーシアード優勝メンバーで、2005年に即戦力としてセレッソ大阪に入団する。ルーキーイヤーの2005年シーズンは開幕スタメンを飾り周囲を期待させたが、第3節の大宮戦で右膝前十字靭帯断裂、全治8ヵ月の大怪我を負ってしまう。この年はチームが優勝争いをする中、自身はリハビリのため残り全試合を棒に振った。
2006年シーズンも当初はベンチ生活が続いたが、塚田雄二監督が就任してからは3バックのセンターとしてチームに欠かせない選手へと成長した。森島寛晃や前田和哉に代わってゲームキャプテンを務める試合も多かった。2009年も当初はスタメンとして起用されていたが、夏場以降はスタメンから外れた。
2010年はカターレ富山へ期限付き移籍。シーズン前に負傷したため、序盤は戦線を離脱。9月の安間貴義監督就任後はボランチとして出場機会が増えたが、出場はシーズンを通して10試合にとどまった。2011年には富山に完全移籍し22試合に出場したが、同年限りで退団。
2012年からはJFLの佐川印刷SCに移籍しプレー。2013年限りで現役を引退。
2014年、佐川印刷京都SCのコーチに就任。",,
